observed_on,latitude,longitude
2016-01-08,37.677486,-122.405634
2016-01-08,38.367471,-122.507571
2016-01-09,36.994995,-122.049565
2016-01-08,38.583969,-123.330669
2016-01-11,37.682125,-122.401345
2016-01-11,37.41131506,-122.26824424
2016-01-12,38.339174,-122.598163
2013-04-06,48.959195,-123.50888
2016-01-16,37.436775,-122.36767
2016-01-16,37.2140433333,-122.3232516667
2016-01-20,37.678864,-122.407009
2016-01-20,37.349057,-122.271214
2012-06-02,47.333471,-122.493525
2012-06-02,47.333704,-122.493396
2012-06-02,47.333704,-122.493396
2016-01-23,37.9546487471,-122.582950825
2016-01-23,37.864275,-122.242309
2016-01-25,37.9238966667,-122.5289466667
2016-01-24,37.11313,-122.269238
2016-01-27,37.4020805556,-121.7962361111
2016-01-22,46.118284,-123.876034
2015-10-12,46.298748,-124.077064
2012-11-08,45.956711,-123.933497
2016-01-30,37.8085033333,-122.2156833333
2013-05-25,47.473707,-122.480736
2016-02-05,46.120515,-123.87657
2016-01-31,37.064246,-122.09836
2016-02-01,46.12006875,-123.87656261
2016-02-06,37.896429,-122.709002
2016-02-06,37.249305,-122.218825
2016-02-06,37.8099266813,-122.149032103
2016-02-07,37.48137,-122.29322
2016-01-24,37.9337616667,-122.5563966667
2016-02-10,37.680766,-122.399971
2014-07-12,47.402184,-122.515926
2016-02-05,45.8939883333,-123.9579783333
2014-07-12,47.401603,-122.51421
2016-02-13,46.134232,-123.88038
2016-02-13,45.759727,-123.961229
2016-02-16,38.53235,-123.004732
2016-02-16,47.4472634369,-122.488168083
2016-02-17,46.202392,-123.974636
2016-02-14,41.358125,-124.022588
2016-02-14,41.358125,-124.022588
2016-02-19,37.196762,-122.267204
2016-02-20,37.8115716667,-122.1814333333
2016-02-20,38.043993,-122.874978
2016-02-22,37.9490358057,-122.573677255
2016-02-22,38.4859331493,-122.5719776891
2016-02-23,38.468456,-123.016575
2016-02-25,37.8136417084,-122.1755242815
2016-02-25,37.8137885174,-122.1754740739
2016-02-25,37.8162376676,-122.1762819217
2016-02-25,37.8184035095,-122.1803177242
2016-02-25,37.8159616667,-122.1768166667
2016-02-25,37.8079376221,-122.4722442627
2016-02-25,37.82982,-122.5277416667
2012-04-14,57.046833,-135.315841
2016-02-25,37.8159315076,-122.176998126
2016-02-27,47.4472084456,-122.4894588256
2016-02-28,37.9336425662,-122.6359698829
2016-02-29,38.5753033333,-123.326225
2016-03-01,37.1508555,-122.1258471667
2016-03-02,37.678224,-122.404078
2016-03-01,37.8459917494,-122.5271677867
2016-02-29,38.578602,-123.332923
2016-03-02,38.4130866667,-122.6928533333
2016-03-02,37.1701583333,-122.2648383333
2016-03-01,37.936206,-122.637438
2016-03-01,37.933836,-122.636193
2016-03-04,37.4313202559,-122.3471822217
2016-03-05,49.31158432,-123.14868156
2016-03-06,46.182098,-123.814146
2016-03-06,37.678002,-122.405457
2015-11-08,37.272784,-122.284926
2015-10-25,40.12968,-123.827535
2015-05-22,45.3383716667,-123.9973616667
2016-03-09,48.872054,-123.340759
2016-03-11,38.468456,-123.016575
2016-03-12,48.892518,-123.355072
2016-03-17,46.134494,-123.887042
2016-03-19,45.715749,-123.903024
2016-03-19,37.94077,-122.56053
2016-03-20,48.912933,-123.393116
2016-03-21,48.8974444444,-123.3421861111
2016-03-14,38.4416284425,-122.4996693855
2016-03-21,46.123989,-123.915563
2016-03-09,48.932185,-123.470449
2016-03-23,38.362804,-122.602594
2016-03-24,46.198595,-123.973177
2016-03-25,45.957642,-123.580568
2016-03-26,37.8897985909,-122.5730840677
2016-03-25,38.36984,-122.506389
2016-03-24,40.875861,-124.051838
2016-03-29,38.369414,-122.502269
2016-03-30,37.678318,-122.405183
2016-03-31,36.99838972,-122.05860991
2016-03-31,36.9982316019,-122.0586798807
2016-04-02,37.89311,-121.876734
2016-04-02,41.3915565284,-124.0207809025
2016-04-02,38.563700337,-120.9324315471
2016-03-15,37.17814,-122.234488
2016-04-06,46.161131,-123.957307
2016-04-07,37.9108933333,-122.269705
2016-03-27,39.522392,-120.996122
2016-03-14,37.8935383333,-122.5728216667
2010-02-13,37.331679,-122.118359
2016-02-23,37.012201,-122.037904
2016-04-11,38.4070874518,-122.9197216128
2016-04-07,37.84062,-122.1013416667
2016-04-10,38.041653,-122.797161
2016-04-09,38.9238616667,-120.5005033333
2016-04-12,46.186807,-123.810386
2016-04-13,38.3695265511,-122.5031468925
2016-04-13,37.0013301493,-122.0486722715
2016-04-15,47.4473554641,-122.4928415102
2016-04-15,37.7986333333,-122.1545111667
2016-04-15,37.7975616667,-122.1546388333
2016-03-27,41.7894165885,-124.084558733
2016-04-15,37.9223175,-122.6934738056
2016-04-15,37.9157783333,-122.6224666667
2016-04-19,37.896161,-122.25546
2016-04-20,36.9900031295,-122.0419206844
2016-04-20,36.99048533,-122.04201177
2016-04-19,37.384958,-122.268391
2016-04-21,49.6003255187,-124.8954759166
2016-04-22,37.679719,-122.405158
2016-04-22,38.3118751087,-123.0503674039
2016-04-23,36.9992900144,-121.9059910253
2016-04-23,46.0675195,-123.7887633333
2016-04-23,46.0678528333,-123.78855
2016-04-10,39.71766,-123.649921
2016-04-15,45.519136,-122.70678
2016-04-16,47.447282572,-122.489093177
2016-04-26,49.29772658,-123.14515804
2016-04-28,38.3688870119,-122.5009846968
2016-04-28,38.468456,-123.016575
2016-04-27,38.533866,-123.003831
